Run,Time of Attack,Duration of Attack,Strategy 1 J,Strategy 1 J
1,1.2,1,6221.1,65.926
2,2.13,1,398.33,65.975
3,3.06,1,546.16,65.85
4,4,1,66.409,66.015
5,4.93,1,71.696,65.875
6,5.87,1,67.349,65.896
7,6.8,1,66.522,65.877
8,7.73,1,65.904,65.874
9,8.67,1,66.283,65.877
10,9.6,1,66.068,65.876
1,1.2,2,7364.5,66.194
2,2.13,2,459.93,66.063
3,3.06,2,638.4,65.85
4,4,2,66.747,66.256
5,4.93,2,72.848,65.876
6,5.87,2,67.962,65.948
7,6.8,2,66.615,65.881
8,7.73,2,65.896,65.876
9,8.67,2,66.332,65.88
10,9.6,2,66.107,65.875
1,1.2,3,10362,66.85
2,2.13,3,617.36,66.161
3,3.06,3,876.27,65.893
4,4,3,67.28,66.654
5,4.93,3,75.914,65.876
6,5.87,3,69.071,66.044
7,6.8,3,66.891,65.891
8,7.73,3,65.904,65.882
9,8.67,3,66.509,65.884
10,9.6,3,66.203,65.875
1,1.2,4,14501,68.26
2,2.13,4,834.02,66.304
3,3.06,4,1204.7,65.989
4,4,4,68.024,67.276
5,4.93,4,80.286,65.874
6,5.87,4,70.581,66.199
7,6.8,4,67.261,65.908
8,7.73,4,65.916,65.894
9,8.67,4,66.763,65.891
10,9.6,4,66.334,65.875
1,1.2,5,19242,70.888
2,2.13,5,1081.9,66.534
3,3.06,5,1582,66.148
4,4,5,68.99,68.192
5,4.93,5,85.491,65.873
6,5.87,5,72.403,66.434
7,6.8,5,67.66,65.936
8,7.73,5,65.928,65.916
9,8.67,5,67.054,65.9
10,9.6,5,66.483,65.875
1,1.2,6,24183,75.23
2,2.13,6,1340,66.896
3,3.06,6,1977.1,66.372
4,4,6,70.184,69.47
5,4.93,6,91.162,65.877
6,5.87,6,74.462,66.772
7,6.8,6,68.044,65.977
8,7.73,6,65.935,65.949
9,8.67,6,67.353,65.911
10,9.6,6,66.637,65.875
1,1.2,7,29040,81.76
2,2.13,7,1593.2,67.434
3,3.06,7,2367.7,66.661
4,4,7,71.602,71.17
5,4.93,7,97.018,65.891
6,5.87,7,76.683,67.231
7,6.8,7,68.389,66.034
8,7.73,7,65.937,65.996
9,8.67,7,67.644,65.925
10,9.6,7,66.79,65.875
1,1.2,8,33620,90.889
2,2.13,8,1831.2,68.192
3,3.06,8,2738.7,67.012
4,4,8,73.233,73.341
5,4.93,8,102.85,65.924
6,5.87,8,79.002,67.829
7,6.8,8,68.68,66.107
8,7.73,8,65.934,66.062
9,8.67,8,67.916,65.941
10,9.6,8,66.935,65.876
1,1.2,9,37806,102.94
2,2.13,9,2047.5,69.213
3,3.06,9,3080.8,67.417
4,4,9,75.056,76.027
5,4.93,9,108.51,65.98
6,5.87,9,81.359,68.578
7,6.8,9,68.914,66.198
8,7.73,9,65.928,66.146
9,8.67,9,68.162,65.959
10,9.6,9,67.07,65.877
1,1.2,10,41541,118.15
2,2.13,10,2238.9,70.539
3,3.06,10,3389.3,67.867
4,4,10,77.043,79.256
5,4.93,10,113.89,66.064
6,5.87,10,83.699,69.486
7,6.8,10,69.092,66.304
8,7.73,10,65.919,66.252
9,8.67,10,68.381,65.979
10,9.6,10,67.192,65.879
